OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
1,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
2,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
3,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
4,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
5,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
6,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
7,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
8,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
9,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
10,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
11,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
12,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
13,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
14,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
15,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
16,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
17,Amazon,IN,6.00,Laminate,100,1.75,2.10,175.00,210.00,23.10,408.10
